Date,AAPL_moving_avg,GOOGL_moving_avg,META_moving_avg,AMZN_moving_avg
01/03/2022,182.01,144.99,338.54,170.4
01/04/2022,180.855,144.695,337.53499999999997,168.96
01/05/2022,178.87666666666667,142.38666666666668,333.08,167.42666666666668
01/06/2022,177.1575,141.22750000000002,332.925,166.3825
01/07/2022,176.16,140.38600000000002,332.698,165.616
01/10/2022,175.49833333333333,140.1,331.9266666666667,164.92833333333334
01/11/2022,175.4385714285714,140.04857142857142,332.2757142857143,164.99
01/12/2022,174.51285714285714,139.54,331.5214285714286,164.24857142857144
01/13/2022,173.44,138.71,330.0857142857143,163.34714285714287
01/14/2022,173.1757142857143,138.95428571428573,331.19,163.03
01/18/2022,172.8614285714286,138.70428571428573,329.1457142857143,162.41142857142856
01/19/2022,172.01285714285714,138.43285714285713,327.4028571428571,161.51857142857145
01/20/2022,170.91571428571427,137.66714285714286,325.75857142857143,160.1157142857143
01/21/2022,169.1057142857143,136.32571428571427,321.3014285714285,156.86999999999998
01/24/2022,167.1185714285714,134.80714285714285,317.7942857142857,153.91714285714284
01/25/2022,165.3457142857143,133.14142857142858,314.03285714285715,150.88571428571427
01/26/2022,163.43428571428572,131.67714285714285,308.7085714285714,147.5614285714286
01/27/2022,161.92285714285714,130.67857142857142,305.34999999999997,144.80714285714285
01/28/2022,162.50857142857143,130.4257142857143,302.79571428571427,143.04714285714286
01/31/2022,163.97571428571428,130.71,302.32428571428574,142.74714285714285
02/01/2022,165.71857142857144,131.75142857142856,304.5857142857143,143.96857142857144
02/02/2022,167.75,134.20857142857142,306.6271428571428,144.83571428571426
02/03/2022,169.62428571428572,136.51714285714286,297.7142857142857,144.67285714285714
02/04/2022,171.4385714285714,138.5257142857143,289.4942857142857,147.3542857142857
02/07/2022,173.21571428571428,139.98142857142858,279.53285714285715,149.96857142857144
02/08/2022,173.85857142857142,140.84571428571428,267.8857142857143,152.45857142857145
02/09/2022,174.07285714285715,141.74428571428572,256.27714285714285,154.1185714285714
